""
Pripravnik
Gasilec
Gasilec I. stopnje
Gasilec II. stopnje
Višji gasilec
Višji gasilec I. stopnje
Nižji gasilski časnik
Nižji gasilski častnik I. stopnje
Nižji gasilski častnik II. stopnje
Gasilski častnik
Gasilski častnik I. stopnje
Gasilski častnik II. stopnje
Višji gasilski častnik
Višji gasilski častnik II. stopnje
Visoki gasilski častnik
