naziv_tecaja
Tečaj za uporabnike izoliranega dihalnega aparata
Tečaj za tehničnega reševalca
Tečaj za uporabnika radijskih postaj
Tečaj za sodnika gasilskih in gasilsko-športnih disciplin
Tečaj za inštruktorja
Tečaj za predavatelja
Usposabljanje za informatiko
Tečaj za mentorja mladine
Tečaj za reševalca ob nesrečah z nevarnimi snovmi
Tečaj za strojnika
Tečaj za bolničarja
Tečaj za usposabljanje gasilcev za gašenje notranjih požarov modul A
Tečaj za usposabljanje gasilcev za gašenje notranjih požarov modul B
Tečaj za usposabljanje gasilcev za gašenje notranjih požarov modul C
Tečaj za potapljača
Tečaj za usposabljanje gasilcev za gašenje požarov v naravi
Tečaj za vodjo čolna
Tečaj za vodjo članic
Tečaj za preventivca
Tečaj za usposabljanje gasilcev za delo z motorno žago
Usposabljanje za vodenje intervencij v naravnem okolju
Tečaj za poveljnika PGD
Usposabljanje za delo s helikopterjem
Tečaj za vodje intervencij
